Participant,Code,SA,WC
R_uslB97A3Wor4KJz,Benefit,1,1
R_1Qnp5QG5cFXcbZx,Benefit,0,0
R_1Nw7ZHMSg0ZUbsy,Benefit,0,0
R_2XhZzruY1R0Vpgz,Benefit,1,1
R_1gNEIREULKHhs2X,Benefit,0,0
R_4ZyLdWpR9wqSaad,Benefit,0,0
R_25MhZn4kjwS5Zxa,Benefit,0,0
R_22J1t8YOaKE5spB,Benefit,0,0
R_Zh3BRdT2nhF3yUx,Benefit,1,0
R_1rwi3yPqfNOFWtH,Benefit,1,0
R_Diuu1r5Xki6vGNz,Benefit,0,0
R_6u5hQNuVgAlJxER,Benefit,0,0
R_2VJg9s9zHPKmXJz,Benefit,1,1
R_33pNTVuV1MZnH3y,Benefit,0,0
R_1CejIxCLBlLmG9G,Benefit,1,1
R_1ODLoqHBBjhtsek,Benefit,1,0
R_1gLyfgLpKZ2ztcw,Benefit,0,0
R_1dFwHdDqCex0xNl,Benefit,0,0
R_1jkArZk4vwhe7Zd,Benefit,1,0
R_2zGTOtbxU2bDBQN,Benefit,0,0
R_77cPHbrp05u3c1X,Benefit,0,0
R_3JrXUJViv9EsE0k,Benefit,0,0
R_11cEOd3qglf0HIL,Benefit,1,1
R_2ZZTpqiNpolwPbA,Benefit,1,1
R_3CDcpeZYIL5ypX7,Benefit,1,1
R_2fkfkGMdqcun7w5,Benefit,1,1
R_3qEjw7TFt4NSFYo,Benefit,0,0
R_80TSwDtlNlzdUeB,Benefit,0,0
R_3JluMQUf5N9lNKp,Benefit,0,0
R_4SkB2vU2HhIZJWp,Benefit,0,0
R_enXuoOZZjmBp5Kh,Benefit,1,0
R_3KZ40gY96UllNRK,Benefit,0,0
R_1Fb5X5YjStVHnYK,Benefit,0,0
R_1Ig8H5PwvsByBHQ,Benefit,0,0
R_ZjXWCtLNZvm5Pmp,Benefit,1,0
R_31mI8tYL6Ye13uY,Benefit,1,1
R_33ycjYBNzVKSt2E,Benefit,1,1
R_28AQMTgGe59tJR3,Benefit,0,0
R_2ruucMTyLuAICT9,Benefit,0,0
R_3qPPEEGbK7RgX28,Benefit,0,0
R_27vgqdzn0SfOwbL,Benefit,0,0
R_2YIZzaDNnJoN78v,Benefit,0,0
R_397XGXw1Kab8lwd,Benefit,0,0
R_31LuX5JuurbvMoO,Benefit,1,1
R_2ATOB2CnIHip8If,Learning,0,0
R_3HGpZsBSePzb2no,Learning,0,0
R_1i9HMF0EACDrVg6,Learning,0,0
R_10UBkI02V0kSmul,Learning,0,0
R_2zSft8YvYZiOn5s,Learning,0,0
R_1f0FG9XqTWKtdtW,Learning,0,0
R_3qfbd92RiF3hK7I,Learning,0,0
R_NXUtjyTjocKutVv,Learning,0,0
R_3CVFA7kQjfeEz55,Learning,0,0
R_umpgJikoAZZK0U1,Learning,0,0
R_110DRBsEpXBcYcH,Learning,0,0
R_Di9SlzIjhCGvYfn,Learning,0,0
R_2YL2XYIJ30dyNtG,Learning,0,0
R_2R3AxUbJArrL8sM,Learning,0,0
R_OCJnGfSaCQulCXT,Learning,0,0
R_RPJghXjMvNXdbC9,Learning,0,0
R_12cmQA4wK3cE7vq,Learning,0,0
R_Df9SkwrplP5adQB,Learning,0,0
R_0vS3YEXvEKwKSFX,Learning,0,0
R_2xAbsDjunmDUbCL,Learning,0,0
R_2zFR12iP6WQ2dMf,Learning,0,0
R_1fkOvG2gpYagrzK,Learning,0,0
R_3JasF46tuYiRz6d,Learning,0,0
R_3r1c5n05C0Dm4Mh,Learning,0,0
R_sRppTe4QvJg9n8J,Learning,0,0
R_UxpqlJBXnFaD4A1,Learning,0,0
R_r8QDzjWRbVAnm5r,Learning,0,0
R_3MG1lxPqxrQKXDg,Learning,0,0
R_1FwuCsQ2XeYn38O,Learning,0,0
R_tSdnNdMDEBbry0h,Learning,0,0
R_12lhUnHRfqw28HM,Learning,0,0
R_3KISHcOdZZoLC4A,Learning,0,0
R_1OjjZpXk8iCHpZz,Learning,0,0
R_2ZOoA6dySyG4Uci,Learning,0,0
R_BG6ShNi5X3HRl0l,Learning,0,0
R_2xY2YneAQFcZG4x,Learning,0,0
R_4IV1cjWrJMY1pTz,Learning,0,0
R_1nYBtb0aVBDW9Sh,Learning,0,0
R_BE8mzF9E8GLxaz7,Learning,0,0
R_30wUJoQMF0qJhf2,Learning,0,0
R_2Vjsk3dUWW5cu7T,Learning,0,0
R_yOdBffH23fjzv7H,Learning,0,0
R_eDmPnnPtKg8Oywp,Learning,0,0
R_3Mii2QuCcETbqRH,Learning,0,0
R_1js40LKncy4AShi,Learning,0,0
R_87dY0FqKaGZdyxz,Learning,0,0
