Scenario,genericCond,R File,N,dv,sd,se,ci
OnlineDating_Percent,A,abE4,20,3.15,1.268027892769755,0.2835396565598986,0.5934553215585385
OnlineDating_Percent,B,abE4,19,3.6842105263157894,1.293257367998745,0.2966935881629432,0.623330098569725
OnlineDating_Percent,AB,abE4,36,3.5277777777777777,1.1080513425729774,0.18467522376216292,0.37491063591097296
OnlineDating_Similarity,A,abE7,30,3.8666666666666667,1.3578211078487255,0.24790308327513397,0.507018734290396
OnlineDating_Similarity,A,abE8,28,3.857142857142857,1.0079052613579393,0.1904761904761905,0.39082486028195906
OnlineDating_Similarity,B,abE7,30,3.566666666666667,1.0400044208570938,0.18987796040284216,0.3883440330035925
OnlineDating_Similarity,B,abE8,31,3.4193548387096775,1.148163564085045,0.20621626370363283,0.421149795403282
OnlineDating_Similarity,AB,abE8,32,3.4375,1.189673308368798,0.21030651593605293,0.42892296711636047
Recruit,A,abE10,30,4.533333333333333,0.9371024061116425,0.17109070883990454,0.34991978921286854
Recruit,B,abE10,30,4.233333333333333,1.072648457158112,0.19583791875287057,0.4005335164869469
Recruit,AB,abE11,27,3.6296296296296298,1.114524670954054,0.21449037293126738,0.4408912758657084
Scope,A,abE10,30,3.7333333333333334,1.1724814044061258,0.2140648378161907,0.4378117516400029
Scope,B,abE10,29,3.413793103448276,1.3762589400075622,0.2555648692838952,0.5235009034330991
Scope,AB,abE11,28,3.357142857142857,1.0959280090672932,0.20711092620158553,0.4249565186769094
Spotify1,A,abE10,30,3.3666666666666667,1.2452207485597395,0.22734516435321264,0.46497306913072173
Spotify1,B,abE10,30,2.966666666666667,1.3514572807192964,0.24674121271818342,0.5046424421869995
Spotify2,A,abE10,32,3.03125,1.2568361455552564,0.2221793403406211,0.4531377521361806
Spotify2,B,abE10,36,2.861111111111111,1.3554709835705032,0.22591183059508388,0.4586253983766281
Support,A,abE10,32,3.90625,1.1460837947184006,0.20260090576334802,0.4132072715564398
Support,B,abE10,36,3.388888888888889,1.3789805298071838,0.2298300883011973,0.46657988441073694
Support,AB,abE11,28,3.1785714285714284,1.3622848842368125,0.25744764417950144,0.5282389327234591
Teachers,A,abE10,26,4.038461538461538,1.1128618685450313,0.21825016860170937,0.4494946363801277
Teachers,B,abE10,28,4.035714285714286,1.1379690439434391,0.21505593499744804,0.44125833017796445
Teachers,AB,abE11,31,3.096774193548387,1.106189818240294,0.19867755640399126,0.40575370112910697
Welfare,A,abE10,26,3.769230769230769,1.3655092034165806,0.26779838746968015,0.5515411033589719
Welfare,B,abE10,28,3.5714285714285716,1.3451854182690985,0.25421614885788835,0.5216084520087101
Welfare,AB,abE11,30,3.2666666666666666,1.3628907749221197,0.2488286736135137,0.5089117790869219
