Respondent ID,Code ,SA,MM
6297617486,Benefit,0,0
6297629947,Benefit,1,1
6297644692,Benefit,0,0
6297649986,Benefit,0,0
6297656168,Benefit,0,0
6297658171,Benefit,0,0
6297669706,Benefit,1,1
6297681000,Benefit,0,0
6297682697,Benefit,1,1
6297085202,Learning,0,0
6297086071,Learning,0,0
6297086289,Learning,0,0
6297089103,Learning,0,0
6297089937,Learning,0,0
6297090064,Learning,0,0
6297090433,Learning,0,0
6297092996,Learning,0,0
6297094841,Learning,0,0
6297097818,Learning,0,0
6297098747,Learning,0,0
6297099941,Learning,0,0
6297101782,Learning,0,0
6297103396,Learning,0,0
6297104484,Learning,0,0
6297104647,Learning,0,0
6297111301,Learning,0,0
6297118083,Learning,0,0
6297118259,Learning,0,0
6297118875,Learning,0,0
6297121694,Learning,1,1
6297122166,Learning,0,0
6297122424,Learning,0,0
6297122836,Learning,0,0
6297123519,Learning,0,0
6297124566,Learning,0,0
6297125968,Learning,0,0
6297127481,Learning,0,0
6297128130,Learning,0,0
6297129162,Learning,0,0
6297130848,Learning,0,0
6297132475,Learning,0,0
6297132635,Learning,0,0
6297133952,Learning,0,0
6297145638,Learning,0,0
6297148765,Learning,0,0
6297148908,Learning,0,0
6297150072,Learning,0,0
6297150166,Learning,0,0
6297154805,Learning,0,0
6297159851,Learning,0,0
6297163318,Learning,0,0
6297176623,Learning,0,0
6297200998,Learning,0,0
6297203618,Learning,0,0
6297223834,Learning,0,0
6297278839,Learning,0,0
6297296031,Learning,0,0
6297334285,Learning,0,0
6297339588,Learning,0,0
6297357836,Learning,0,0
6297372448,Learning,0,0
6297372646,Learning,0,0
6297399349,Learning,0,0
6297420676,Learning,0,0
6297421194,Learning,0,0
6297484456,Learning,0,0
6297485664,Learning,0,0
6297514751,Learning,0,0
6297584897,Learning,0,0
6297619082,Learning,0,0
6297683884,Learning,0,0
6297685720,Learning,0,0
6297084303,Learning,0,0
6297086594,Learning,0,0
6297086682,Learning,0,0
6297086706,Learning,0,0
6297087455,Learning,0,0
6297088074,Learning,0,0
6297088597,Learning,0,0
6297088777,Learning,0,0
6297089279,Learning,0,0
6297089454,Learning,0,0
6297092291,Learning,0,0
6297093305,Learning,0,0
6297096338,Learning,0,0
6297096511,Learning,0,0
6297097289,Learning,0,0
6297097390,Learning,0,0
6297097749,Learning,0,0
6297097925,Learning,0,0
6297098201,Learning,0,0
6297100231,Learning,0,0
6297100338,Learning,0,0
6297101036,Learning,0,0
6297101413,Learning,0,0
6297101468,Learning,0,0
6297103571,Learning,0,0
6297103585,Learning,0,0
6297104236,Learning,0,0
6297104943,Learning,0,0
6297105654,Learning,0,0
6297105706,Learning,0,0
6297105787,Learning,0,0
6297106497,Learning,0,0
6297109936,Learning,0,0
6297113320,Learning,0,0
6297114341,Learning,0,0
6297115429,Learning,0,0
6297118662,Learning,0,0
6297122262,Learning,0,0
6297125806,Learning,0,0
6297126225,Learning,0,0
6297127102,Learning,0,0
6297128899,Learning,0,0
6297133740,Learning,0,0
6297149301,Learning,0,0
6297168324,Learning,0,0
6297168356,Learning,0,0
6297172890,Learning,0,0
6297178887,Learning,0,0
6297191499,Learning,0,0
6297193330,Learning,0,0
6297200889,Learning,0,0
6297202939,Learning,0,0
6297203327,Learning,0,0
6297206449,Learning,0,0
6297208170,Learning,0,0
6297223938,Learning,0,0
6297226301,Learning,0,0
6297264173,Learning,0,0
6297280044,Learning,0,0
6297282497,Learning,0,0
6297288246,Learning,0,0
6297291179,Learning,0,0
6297309391,Learning,0,0
6297366208,Learning,0,0
6297373891,Learning,0,0
6297378709,Learning,0,0
6297402697,Learning,0,0
6297426406,Learning,0,0
6297475563,Learning,0,0
6297479353,Learning,0,0
6297510865,Learning,0,0
6297520072,Learning,0,0
6297529791,Learning,0,0
6297531420,Learning,0,0
6297538182,Learning,0,0
6297588793,Learning,0,0
6297624448,Learning,0,0
6297648678,Learning,0,0
6297689071,Learning,0,0
6297084394,Learning,0,0
6297084863,Learning,0,0
6297085084,Learning,1,1
6297085330,Learning,0,0
6297087991,Learning,0,0
6297090204,Learning,0,0
6297090562,Learning,0,0
6297092200,Learning,0,0
6297092347,Learning,0,0
6297092458,Learning,0,0
6297093379,Learning,1,0
6297093949,Learning,0,0
6297094742,Learning,0,0
6297095408,Learning,0,0
6297095921,Learning,0,0
6297096535,Learning,0,0
6297102036,Learning,0,0
6297102182,Learning,0,0
6297104605,Learning,0,0
6297106096,Learning,0,0
6297106102,Learning,0,0
6297106542,Learning,0,0
6297114236,Learning,0,0
6297115726,Learning,0,0
6297118264,Learning,0,0
6297119394,Learning,0,0
6297119672,Learning,0,0
6297123538,Learning,0,0
6297125861,Learning,0,0
6297127371,Learning,0,0
6297128451,Learning,0,0
6297130748,Learning,0,0
6297131849,Learning,0,0
6297134390,Learning,1,0
6297135218,Learning,1,1
6297136368,Learning,0,0
6297137719,Learning,0,0
6297143131,Learning,0,0
6297143573,Learning,0,0
6297144359,Learning,1,1
6297147095,Learning,0,0
6297147723,Learning,1,1
6297153605,Learning,0,0
6297162712,Learning,0,0
6297164295,Learning,0,0
6297164684,Learning,0,0
6297173237,Learning,0,0
6297182938,Learning,0,0
6297183440,Learning,0,0
6297183511,Learning,1,1
6297186867,Learning,0,0
6297188506,Learning,0,0
6297192335,Learning,0,0
6297194482,Learning,1,1
6297199671,Learning,0,0
6297199847,Learning,1,1
6297200501,Learning,0,0
6297200628,Learning,0,0
6297200635,Learning,1,1
6297202377,Learning,0,0
6297202950,Learning,0,0
6297204378,Learning,0,0
6297214605,Learning,0,0
6297218301,Learning,0,0
6297250553,Learning,0,0
6297268319,Learning,0,0
6297273339,Learning,0,0
6297276868,Learning,0,0
6297286332,Learning,0,0
6297305259,Learning,1,1
6297348086,Learning,0,0
6297353021,Learning,1,1
6297357432,Learning,0,0
6297358181,Learning,1,1
6297358630,Learning,1,1
6297384573,Learning,0,0
6297388125,Learning,0,0
6297399576,Learning,1,1
6297402305,Learning,1,0
6297446232,Learning,0,0
6297459273,Learning,0,0
6297480451,Learning,0,0
6297481285,Learning,0,0
6297503428,Learning,0,0
6297538474,Learning,0,0
6297540267,Learning,0,0
6297568973,Learning,0,0
6297634747,Learning,0,0
6297657007,Learning,0,0
6297679841,Learning,0,0
6297085434,Learning,0,0
6297085888,Learning,0,0
6297087370,Learning,0,0
6297087586,Learning,0,0
6297087596,Learning,0,0
6297088535,Learning,0,0
6297089491,Learning,0,0
6297090036,Learning,0,0
6297092146,Learning,1,1
6297093732,Learning,1,1
6297094527,Learning,0,0
6297095030,Learning,0,0
6297095488,Learning,0,0
6297095762,Learning,0,0
6297097737,Learning,0,0
6297097891,Learning,0,0
6297098147,Learning,0,0
6297098542,Learning,1,1
6297099345,Learning,0,0
6297103562,Learning,0,0
6297104180,Learning,1,1
6297107145,Learning,0,0
6297107244,Learning,0,0
6297107994,Learning,0,0
6297108103,Learning,1,1
6297109495,Learning,0,0
6297111367,Learning,0,0
6297112355,Learning,0,0
6297113413,Learning,0,0
6297113691,Learning,1,1
6297113899,Learning,0,0
6297115532,Learning,0,0
6297116194,Learning,0,0
6297117730,Learning,0,0
6297117940,Learning,0,0
6297117960,Learning,0,0
6297119550,Learning,0,0
6297122963,Learning,0,0
6297123125,Learning,0,0
6297123583,Learning,0,0
6297128816,Learning,0,0
6297132428,Learning,0,0
6297134747,Learning,0,0
6297135288,Learning,0,0
6297137613,Learning,0,0
6297142129,Learning,0,0
6297145065,Learning,1,1
6297147521,Learning,0,0
6297153365,Learning,0,0
6297155132,Learning,0,0
6297155426,Learning,0,0
6297156874,Learning,0,0
6297161815,Learning,0,0
6297162736,Learning,0,0
6297163812,Learning,0,0
6297166684,Learning,0,0
6297172639,Learning,0,0
6297183415,Learning,0,0
6297187097,Learning,0,0
6297191259,Learning,0,0
6297192905,Learning,0,0
6297195431,Learning,0,0
6297199984,Learning,0,0
6297200751,Learning,1,1
6297202360,Learning,0,0
6297203289,Learning,0,0
6297220574,Learning,1,1
6297223279,Learning,0,0
6297235496,Learning,0,0
6297240392,Learning,0,0
6297252813,Learning,0,0
6297265963,Learning,0,0
6297286920,Learning,0,0
6297321790,Learning,0,0
6297325727,Learning,0,0
6297339557,Learning,0,0
6297359889,Learning,0,0
6297362319,Learning,0,0
6297402285,Learning,0,0
6297421188,Learning,0,0
6297425142,Learning,0,0
6297431668,Learning,0,0
6297453769,Learning,0,0
6297456913,Learning,1,1
6297457789,Learning,1,1
6297483296,Learning,0,0
6297488926,Learning,0,0
6297529887,Learning,0,0
6297550923,Learning,1,1
6297596917,Learning,1,1
6297604728,Learning,0,0
6297617486,Learning,0,0
6297629947,Learning,1,1
6297644692,Learning,0,0
6297649986,Learning,0,0
6297656168,Learning,0,0
6297658171,Learning,0,0
6297669706,Learning,1,1
6297681000,Learning,0,0
6297682697,Learning,1,1
6297085202,AbsenceHarm,0,0
6297086071,AbsenceHarm,0,0
6297086289,AbsenceHarm,1,1
6297089103,AbsenceHarm,0,0
6297089937,AbsenceHarm,0,0
6297090064,AbsenceHarm,0,0
6297090433,AbsenceHarm,0,0
6297092996,AbsenceHarm,0,0
6297094841,AbsenceHarm,0,0
6297097818,AbsenceHarm,1,1
6297098747,AbsenceHarm,0,0
6297099941,AbsenceHarm,1,1
6297101782,AbsenceHarm,0,0
6297103396,AbsenceHarm,1,1
6297104484,AbsenceHarm,0,0
6297104647,AbsenceHarm,0,0
6297111301,AbsenceHarm,1,0
6297118083,AbsenceHarm,0,0
6297118259,AbsenceHarm,0,0
6297118875,AbsenceHarm,0,0
6297121694,AbsenceHarm,0,0
6297122166,AbsenceHarm,0,0
6297122424,AbsenceHarm,0,0
6297122836,AbsenceHarm,0,0
6297123519,AbsenceHarm,0,0
6297124566,AbsenceHarm,0,0
6297125968,AbsenceHarm,0,0
6297127481,AbsenceHarm,0,0
6297128130,AbsenceHarm,0,0
6297129162,AbsenceHarm,0,0
6297130848,AbsenceHarm,0,0
6297132475,AbsenceHarm,0,0
6297132635,AbsenceHarm,0,0
6297133952,AbsenceHarm,0,0
6297145638,AbsenceHarm,0,0
6297148765,AbsenceHarm,0,0
6297148908,AbsenceHarm,0,0
6297150072,AbsenceHarm,0,0
6297150166,AbsenceHarm,0,0
6297154805,AbsenceHarm,0,0
6297159851,AbsenceHarm,1,0
6297163318,AbsenceHarm,0,0
6297176623,AbsenceHarm,0,0
6297200998,AbsenceHarm,0,0
6297203618,AbsenceHarm,0,0
6297223834,AbsenceHarm,0,0
6297278839,AbsenceHarm,0,0
6297296031,AbsenceHarm,0,0
6297334285,AbsenceHarm,0,0
6297339588,AbsenceHarm,0,0
6297357836,AbsenceHarm,0,0
6297372448,AbsenceHarm,0,0
6297372646,AbsenceHarm,1,1
6297399349,AbsenceHarm,0,0
6297420676,AbsenceHarm,0,0
6297421194,AbsenceHarm,0,0
6297484456,AbsenceHarm,0,1
6297485664,AbsenceHarm,0,0
6297514751,AbsenceHarm,0,0
6297584897,AbsenceHarm,0,0
6297619082,AbsenceHarm,0,0
6297683884,AbsenceHarm,0,0
6297685720,AbsenceHarm,0,0
6297084303,AbsenceHarm,0,0
6297086594,AbsenceHarm,0,0
6297086682,AbsenceHarm,0,0
6297086706,AbsenceHarm,0,0
6297087455,AbsenceHarm,0,0
6297088074,AbsenceHarm,0,0
6297088597,AbsenceHarm,0,0
6297088777,AbsenceHarm,0,0
6297089279,AbsenceHarm,0,0
6297089454,AbsenceHarm,0,0
6297092291,AbsenceHarm,0,0
6297093305,AbsenceHarm,0,0
6297096338,AbsenceHarm,0,0
6297096511,AbsenceHarm,0,0
6297097289,AbsenceHarm,0,0
6297097390,AbsenceHarm,0,0
6297097749,AbsenceHarm,0,0
6297097925,AbsenceHarm,0,0
6297098201,AbsenceHarm,0,0
6297100231,AbsenceHarm,0,0
6297100338,AbsenceHarm,0,0
6297101036,AbsenceHarm,0,0
6297101413,AbsenceHarm,0,0
6297101468,AbsenceHarm,0,0
6297103571,AbsenceHarm,0,0
6297103585,AbsenceHarm,0,0
6297104236,AbsenceHarm,0,0
6297104943,AbsenceHarm,0,0
6297105654,AbsenceHarm,0,0
6297105706,AbsenceHarm,1,1
6297105787,AbsenceHarm,0,0
6297106497,AbsenceHarm,1,0
6297109936,AbsenceHarm,0,0
6297113320,AbsenceHarm,0,0
6297114341,AbsenceHarm,0,0
6297115429,AbsenceHarm,0,0
6297118662,AbsenceHarm,0,0
6297122262,AbsenceHarm,0,0
6297125806,AbsenceHarm,1,1
6297126225,AbsenceHarm,0,0
6297127102,AbsenceHarm,1,1
6297128899,AbsenceHarm,0,0
